;Na;Mg;Al;K;Ca;Ti;V;Cr;Mn;Fe;Co;Ni;Cu;Zn;Ga;As;Se;Rb;Sr;Mo;Cd;Sb;Ba
0;0,502441894;0,190069835;0,28513412;0,35184565;1,668631527;0,028313819;0,0004;1,1408;0,0109;0,2622;0,0002;0,0031;0,0198;0;0,0002;0;0,00017;0,00065;0,01147;0,00054;8,00E-05;0;0,00662
1;0,608883359;0,188242699;0,354357766;0,369649449;1,428037729;0,03307143;0,0005;0,8974;0,0127;0,3562;0,0002;0,0036;0,0207;0;0,0002;0;0,00019;0,00083;0,00684;0,00061;7,00E-05;0;0,00735
2;0,442525619;0,165227766;0,451486084;0,401273507;1,578794473;0,044342893;0,0007;1,4125;0,0228;0,7921;0,0002;0,0042;0,0368;0;0,0003;0,00019;0,00015;0,00086;0,00722;0,00062;8,00E-05;0,00472;0,01279
3;0,895830217;0,264869583;0,698084838;0,487531659;2,240093952;0,05313157;0,0012;1,3367;0,0209;0,8696;0,0003;0,0032;0,0321;0;0,0003;0,00014;0,00018;0,00128;0,01187;0,00074;0,00022;0,00324;0,01446
4;0,885309128;0,24291032;0,505667657;0,400484259;1,652548325;0,046019176;0,001;1,3746;0,0245;1,1068;0,0003;0,0042;0,0601;0;0,0005;0,00041;0,00018;0,00086;0,00752;0,00129;8,00E-05;0,0083;0,01936
5;1,682221745;0,425298474;1,017903495;0,658281239;2,899256791;0,079382368;0,0019;1,4599;0,0283;1,4002;0,0004;0,0033;0,0449;0;0,0006;0,00029;0,00022;0,00166;0,01291;0,0012;0,00015;0,00694;0,02317
6;1,494529365;0,191784781;0,336607275;0,344276999;1,557285187;0,03055687;0,0007;1,5042;0,0137;0,665;0,0002;0,003;0,0401;0;0,0003;0,00069;0,00022;0,00068;0,01028;0,00072;0,00017;0,0058;0,01158
7;1,524118949;0,228491129;0,405317327;0,301595962;1,416690612;0,031800708;0,0013;1,3967;0,0448;2,8679;0,0004;0,0063;0,1534;0,1362;0,0009;0,00172;0,0004;0,00077;0,00645;0,00783;0,00037;0,02645;0,0408
8;0,577338162;0,184643127;0,325632738;0,256043325;1,295887802;0,023698832;0,001;1,5042;0,0186;1,161;0,0002;0,0036;0,0878;0;0,0005;0,00025;0,00025;0,00053;0,00657;0,00158;6,00E-05;0,01246;0,02187
9;0,70518581;0,17605871;0,26330836;0,243225636;1,353828842;0,019157177;0,0013;1,1186;0,0272;2,0718;0,0003;0,0055;0,1596;0;0,0008;0,00041;0,00035;0,00047;0,00705;0,00218;6,00E-05;0,02436;0,0344
10;0,256129365;0,110159443;0,1459949;0,190907871;0,990379976;0,013782073;0,0023;0,1131;0,1788;18,0231;0,0016;0,0185;1,4785;0,3085;0,0029;0,00138;0,0002;0,00094;0,01259;0,00926;0,00028;0,09086;0,12869
11;2,918791723;0,561807267;0,666133982;0,414745818;2,336978428;0,027363349;0,0019;0,132;0,1388;15,0591;0,0013;0,0183;1,2195;0,4696;0,0046;0,00123;0,00022;0,00065;0,01381;0,00911;0,00013;0,15135;0,20097
12;2,964061746;0,597626727;0,484194143;0,353320597;2,252377612;0,020315989;0,0019;0,1193;0,2071;21,3547;0,0179;0,0209;1,5157;0,2721;0,0024;0;0,00014;0,00057;0,00928;0,01195;0,00029;0,0812;0,10344
13;0,985197356;0,320966624;0,448843462;0,301555075;1,729829642;0,018131962;0,0015;0,1101;0,1297;14,285;0,0012;0,0177;1,147;0,3806;0,0038;0,00117;0,00016;0,00038;0,00842;0,0078;0,02107;0,12933;0,16648
