,Bin mean,Concentration,Error
0,0.0115,2.418495066266607,0.362774259939991
1,0.0154,13.817228297925652,2.0725842446888474
2,0.0205,51.63458083421453,7.74518712513218
3,0.027399999999999997,112.45974354060597,16.868961531090896
4,0.0365,168.37444697999717,25.256167046999572
5,0.0487,161.62395331333133,24.243592996999702
6,0.0649,250.13615285118212,37.520422927677316
7,0.0866,282.2119444626378,42.33179166939567
8,0.1155,438.02051075406035,65.70307661310905
9,0.154,365.9568380926068,54.893525713891016
10,0.2054,364.0072185418127,54.60108278127189
11,0.2738,262.0585447046613,39.3087817056992
12,0.337,50.148741649098355,7.522311247364752
13,0.419,100.463223724389,15.06948355865835
14,0.522,78.02565350979545,11.703848026469318
15,0.65,29.47203210493211,4.4208048157398165
16,0.809,22.74924110023608,3.4123861650354117
17,1.007,25.830880368780694,3.874632055317104
18,1.254,11.189667967143134,1.67845019507147
19,1.562,10.9935025903267,1.6490253885490052
20,1.944,8.60944443506766,1.2914166652601489
21,2.421,4.644641132480291,0.6966961698720435
22,3.014,2.1699266316668617,0.3254889947500293
23,3.752,1.1146222427934978,0.16719333641902467
24,4.672,0.5123358353558565,0.07685037530337847
25,5.816,0.2034345166969741,0.03051517750454611
26,7.241,0.10662550881256391,0.015993826321884588
27,9.015,0.05704905222040997,0.008557357833061495
